Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Afghanistan,0.9748908296943232,0.31763527054108215,0.19478059560138905,3.5306440287002126e-05,0.0,0.0004417816208918032,0.8317757,0.0027673584175596845,0.000562240601349397,0.6444019263706522,0.0023538771965850337,0.006941120153183341,0.06532117453502873
Algeria,0.9945414847161572,0.996993987975952,0.0016836788382616017,0.014877741643161729,0.0,0.00041696242870687046,0.010953188,0.07715093419006024,0.015988367066353513,0.4578195123854972,0.033290008420420035,0.0019147917663954045,0.2385381799600567
Antigua and Barbuda,1.0,1.0,0.009575923392612859,6.47284738595039e-05,0.0,4.9638384369865536e-06,0.029411763999999996,0.15784857231597635,4.2961905289512514e-05,0.7053207148262305,0.1517688313149472,0.026448061273336525,4.226488081854455e-05
Argentina,1.0,0.998997995991984,0.11301694201831,0.017763062402171736,0.009846678444793122,0.017189772507284436,0.31991589000000004,0.09864395547046773,0.015694171968920367,0.26391050993842025,0.08698451972471953,0.0017951172809956917,0.2784653721928532
Armenia,1.0,0.9799599198396793,0.108807744922656,0.0005609801067823671,0.0025079996540690133,0.0011962850633137595,0.6082191499999999,0.0767661439411487,0.0005706462060353737,0.880763078147068,0.03873274962055669,0.012206797510770704,0.002976769639072941
Australia,1.0,1.0,0.10659791644743766,0.03853305663545315,0.0,0.02651186109194518,0.2137597,0.31779576828117967,0.03609453940604393,0.529152752856145,0.48364307185709926,0.00011967448539971278,0.7753100785015077
Austria,1.0,1.0,0.35536146480058933,0.0031815025636398584,0.0,0.027122413219694528,0.77109795,0.2314154802693316,0.0060436192485317395,0.4892974621538684,0.4415078050675415,0.012805169937769268,0.00839789160340038
Azerbaijan,1.0,0.966933867735471,0.017047248237398716,0.004493725260973438,0.0,0.0008388886958507275,0.06869919000000001,0.0833480798764961,0.003310868541730026,0.5539430500731457,0.04051261071077875,0.014480612733365247,0.008671211176276703
Bahrain,1.0,1.0,0.0,0.006164896767891538,0.0,4.9638384369865536e-06,0.00031806613999999997,0.7467544823576495,0.003100728779483319,0.5309616285939178,0.20642192538750798,0.2677118238391575,7.451438703553826e-05
Bangladesh,0.9148471615720525,0.23246492985971945,0.2604440702935915,0.01537203180717976,0.0,0.000565877581816467,0.014337819,0.012939489592004317,0.008469099196050628,0.9161803819616621,0.014404100424068093,0.15114887505983723,0.014866721904796052
Barbados,1.0,1.0,0.04535409870567189,0.00019222395267367825,0.0,1.9855353747946214e-05,0.039215686,0.12004430792847016,0.00011114058549118618,0.38757656095911924,0.15859992040629164,0.0797032072762087,4.0962882120342936e-05
Belarus,1.0,0.9949899799599199,0.08239503314742713,0.007206436756358101,0.0,0.00046660081307673594,0.02494692,0.15253522616719326,0.0053805116972260566,0.4834524557688701,0.058496105900204654,0.005385351842987075,0.020789814444153218
Belgium,1.0,1.0,0.10743975586656845,0.00575102682897168,0.053767559086248015,0.009664593436812818,0.68237465,0.3076353075745256,0.008681107267027609,0.5314860079327003,0.4103289934947375,0.04559597893729057,0.003055390329695115
Belize,0.9205240174672489,0.8206412825651302,0.30611385878143743,8.042022509817151e-05,0.0,0.00023330040653836797,0.53409092,0.04646995027958716,5.416935972430174e-05,0.5067014016777073,0.04292924066372957,0.0017951172809956917,0.0022980277023258405
Bhutan,1.0,0.7935871743486974,0.8657266126486373,0.0,0.0,0.0044426354011029645,1.0,0.13005218943828428,9.24614910307195e-05,0.762542020535869,0.02738858353331278,0.00215414073719483,0.003843199695853104
Bosnia and Herzegovina,1.0,0.44889779559118237,0.3895611912027781,0.002032081785407456,0.0,0.003132182053738515,0.3785243,0.09849558718033749,0.0019622383733073692,0.5751544775292657,0.05214198336036624,0.007419818094782192,0.005125468106089658
Brazil,0.9978165938864628,0.9579158316633266,0.5005787646006524,0.017831713813840907,0.018729691997874998,0.2544413944414937,0.8530534,0.07918608705901099,0.04055603901981629,0.48416716535152166,0.07672626812864121,0.002752513164193394,0.8528841624778197
Canada,1.0,1.0,0.23266336946227506,0.021703653431982144,0.11795011180983679,0.20937470527209281,0.82378334,0.5185584215535297,0.05418337230701493,0.5141858440209727,0.40808853389284233,0.00023934897079942556,1.0
China,1.0,0.7755511022044087,0.1520572450805009,1.0,0.43080762530732264,1.0,0.31672895,0.13498902277763114,1.0,0.7750088741314075,0.08775626805951928,0.01807084729535663,0.9611693911323272
Colombia,0.9973353711790394,0.9248496993987976,0.3232663369462275,0.004676141869122949,0.0,0.02695860655127397,0.6949456,0.05290926882025378,0.007563163617932678,0.6039988571690611,0.05484324716379401,0.005265677357587362,0.11406399964585635
