Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Afghanistan,97.7,31.9,18.51,0.18,0.0,0.89,83.17757,802.61255,6079.999924,3.911603419,494.1793499,60,652230.0
Algeria,99.5,99.7,0.16,75.85,0.0,0.84,1.0953188,16259.053,171250.0,1.0,3989.668276,18,2381741.0
Angola,45.6428,49.5,54.69,4.38,0.0,11.02,71.55844,3667.4238,25209.99908,-0.624644318,2809.626088,26,1246700.0
Antigua and Barbuda,100.0,100.0,0.91,0.33,0.0,0.01,2.9411764,33027.516,519.9999809,4.862236166,17376.64968,223,443.0
Argentina,100.0,99.9,10.74,90.56,7.97,34.63,31.991589,20725.168,168100.0061,-2.025934237,10056.63794,17,2780400.0
Armenia,100.0,98.0,10.34,2.86,2.03,2.41,60.821915,16179.096,6170.000076,7.599999999,4604.646324,104,29743.0
Australia,100.0,100.0,10.13,196.45,0.0,53.41,21.37597,66263.54,386529.9988,2.113149425,54875.28596,3,7741220.0
Austria,100.0,100.0,33.77,16.22,0.0,54.64,77.109795,48314.258,64769.99664,1.49121085,50114.40111,109,83871.0
Azerbaijan,100.0,96.7,1.62,22.91,0.0,1.69,6.869919,17546.781,35509.99832,2.5,4805.753718,123,86600.0
Bahrain,100.0,100.0,0.0,31.43,0.0,0.01,0.031806614,155398.47,33259.99832,2.141376784,23551.93009,2239,765.0
Bangladesh,92.2,23.4,24.75,78.37,0.0,1.14,1.4337819,2916.3176,90739.99786,8.152684149,1855.740094,1265,148460.0
Barbados,100.0,100.0,4.31,0.98,0.0,0.04,3.9215686,25172.027,1250.0,-0.096135553,18148.49785,668,430.0
Belarus,100.0,99.5,7.83,36.74,0.0,0.94,2.494692,31923.436,57669.99817,1.4,6837.717826,47,207600.0
Belgium,100.0,100.0,10.21,29.32,43.52,19.47,68.237465,64152.26,93010.00214,2.149559681,46591.49161,383,30528.0
Belize,92.72,82.1,29.09,0.41,0.0,0.47,53.409092,9883.737,639.9999857,1.762797913,5078.809944,17,22966.0
Benin,40.32869,4.0,46.47,0.19,0.0,0.01,5.0,2416.162,7300.000191,6.865687336,1219.515506,108,112622.0
Bhutan,100.0,79.4,82.27,0.0,0.0,8.95,100.0,27251.602,1049.999952,5.755169995,3322.863329,20,38394.0
Bosnia and Herzegovina,100.0,45.0,37.02,10.36,0.0,6.31,37.85243,20694.338,21069.99969,2.831002603,6119.762345,64,51197.0
Botswana,69.95974,63.9,25.57,3.05,0.0,0.01,0.3267974,9467.984,7250.0,2.992737635,7203.064221,4,581730.0
Brazil,99.8,95.8,47.57,90.91,15.16,512.59,85.30534,16681.945,434299.9878,1.411152985,8897.552966,25,8515770.0
Burkina Faso,18.374855,10.1,64.85,1.51,0.0,0.21,12.209302,946.95734,5000.0,5.688115149,796.1152068,76,274200.0
Burundi,11.356528,0.2,84.77,0.12,0.0,0.24,66.666664,309.34055,720.0000286,1.842476677,228.2135892,463,27830.0
Cambodia,84.0,32.6,53.36,3.94,0.0,4.51,53.372787,4069.4607,16180.00031,7.054106932,1643.121389,95,181035.0
Cameroon,63.48988,22.2,79.41,2.99,0.0,5.36,64.19161,1720.2494,9430.000305,3.475059979,1533.095688,56,475440.0
Canada,100.0,100.0,22.11,110.65,95.47,421.8,82.378334,107980.76,580210.022,1.879592028,46338.34096,4,9984670.0
Central African Republic,14.3,0.7,91.26,0.0,0.0,0.15,100.0,299.18008,239.9999946,3.0,467.9080323,8,622984.0
Chad,8.4,6.1,77.79,0.3,0.0,0.01,3.2258065,458.18085,2250.0,3.247181917,709.5400432,13,1284000.0
China,100.0,77.6,14.45,5098.22,348.7,2014.57,31.672895,28277.445,10707219.73,5.949714233,10143.83817,153,9596960.0
Colombia,99.75592,92.5,30.72,23.84,0.0,54.31,69.49456,11221.787,81040.00092,3.281116805,6424.979492,46,1138910.0
Comoros,84.297775,7.8,53.43,0.1,0.0,0.0,0.0,1685.7296,319.9999928,1.75532828,1401.542312,467,2235.0
Costa Rica,99.71,95.6,35.76,0.25,0.0,11.18,97.81277,13012.45,8239.999771,2.256315079,12693.82796,100,51100.0
Croatia,100.0,100.0,31.6,4.31,0.0,8.35,65.95577,23200.729,16520.00046,3.481945603,15311.7669,73,56594.0
Cuba,99.8,93.6,21.54,16.54,0.0,2.99,15.309779,9606.213,25909.99985,-0.164839982,9125.878679,106,110860.0
Cyprus,100.0,100.0,12.05,4.63,0.0,0.52,10.097087,26442.418,7190.000057,5.283187396,29206.07672,131,9251.0
Denmark,100.0,100.0,37.52,6.44,0.0,23.07,78.17689,33139.277,29700.00076,2.114664208,59775.7351,137,43094.0
Djibouti,61.21193,9.5,27.92,0.06,0.0,0.0,0.0,2848.7866,419.9999869,7.770497257,3414.916178,43,23200.0
Dominica,100.0,89.3,8.05,0.07,0.0,0.02,22.222221,11049.87,170.0000018,7.571391597,8516.280039,96,751.0
Dominican Republic,99.0,90.9,13.98,16.91,0.0,2.36,12.247015,11098.332,27229.99954,5.05216802,8282.117131,225,48670.0
Ecuador,99.09,94.45,17.73,7.09,0.0,25.2,78.04273,12160.402,39290.00092,0.012105103,6222.524653,71,283561.0
El Salvador,97.36,90.75,19.39,1.84,0.0,4.15,69.28214,7271.5205,7800.000191,2.382581398,4167.730939,313,21041.0
Equatorial Guinea,66.600044,24.0,6.58,0.95,0.0,0.45,32.142857,17644.693,5349.999905,-5.978936905,8419.933336,50,28051.0
Estonia,100.0,100.0,31.29,5.47,0.0,2.14,28.120895,47295.336,10180.00031,4.096342644,23397.12001,31,45228.0
Eswatini,76.86944,53.8,65.95,0.04,0.0,0.67,94.3662,5780.252,959.9999785,2.61303529,3915.643467,67,17364.0
