Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Afghanistan,2014,89.5,26.1,18.93,0.16,0.0,1.0,86.2069,868.5762,4880.000114,2.724543364,614.2233424,60,652230.0
Afghanistan,2019,97.7,31.9,18.51,0.18,0.0,0.89,83.17757,802.61255,6079.999924,3.911603419,494.1793499,60,652230.0
Algeria,2014,99.08701,99.5,0.07,60.15,0.0,0.25,0.41390726,15108.635,147740.0055,3.8,5493.056695,18,2381741.0
Algeria,2019,99.5,99.7,0.16,75.85,0.0,0.84,1.0953188,16259.053,171250.0,1.0,3989.668276,18,2381741.0
Angola,2014,32.0,46.5,48.23,3.98,0.0,5.24,56.83297,4135.0474,29629.99916,4.822627568,5408.4117,26,1246700.0
Angola,2019,45.6428,49.5,54.69,4.38,0.0,11.02,71.55844,3667.4238,25209.99908,-0.624644318,2809.626088,26,1246700.0
Antigua and Barbuda,2014,100.0,100.0,0.14,0.32,0.0,0.0,0.0,33313.0,479.9999893,3.795727613,13501.58092,223,443.0
Antigua and Barbuda,2019,100.0,100.0,0.91,0.33,0.0,0.01,2.9411764,33027.516,519.9999809,4.862236166,17376.64968,223,443.0
Argentina,2014,100.0,99.7,9.79,92.18,5.26,34.37,30.066004,22881.006,179600.0061,-2.512615321,12334.79825,17,2780400.0
Argentina,2019,100.0,99.9,10.74,90.56,7.97,34.63,31.991589,20725.168,168100.0061,-2.025934237,10056.63794,17,2780400.0
Armenia,2014,99.71,97.6,7.08,3.09,2.27,1.97,57.84447,15185.13,5480.000019,3.600000001,3986.231624,104,29743.0
Armenia,2019,100.0,98.0,10.34,2.86,2.03,2.41,60.821915,16179.096,6170.000076,7.599999999,4604.646324,104,29743.0
Australia,2014,100.0,100.0,9.32,205.46,0.0,36.15,14.96213,66744.195,371630.0049,2.562931521,62511.69059,3,7741220.0
Australia,2019,100.0,100.0,10.13,196.45,0.0,53.41,21.37597,66263.54,386529.9988,2.113149425,54875.28596,3,7741220.0
Austria,2014,100.0,100.0,35.67,11.42,0.0,50.2,81.46706,46196.465,62049.99924,0.661272849,51717.49594,109,83871.0
Austria,2019,100.0,100.0,33.77,16.22,0.0,54.64,77.109795,48314.258,64769.99664,1.49121085,50114.40111,109,83871.0
Azerbaijan,2014,100.0,95.5,2.12,22.03,0.0,1.29,5.5317326,16145.47,32240.00168,2.75050703,7891.313147,123,86600.0
Azerbaijan,2019,100.0,96.7,1.62,22.91,0.0,1.69,6.869919,17546.781,35509.99832,2.5,4805.753718,123,86600.0
Bahrain,2014,100.0,100.0,0.0,25.62,0.0,0.01,0.03901678,153929.6,30280.00069,4.350390853,24989.43753,2239,765.0
Bahrain,2019,100.0,100.0,0.0,31.43,0.0,0.01,0.031806614,155398.47,33259.99832,2.141376784,23551.93009,2239,765.0
Bangladesh,2014,62.4,17.1,35.32,51.78,0.0,0.81,1.5402168,2040.6984,63830.00183,6.061059359,1118.873808,1265,148460.0
Bangladesh,2019,92.2,23.4,24.75,78.37,0.0,1.14,1.4337819,2916.3176,90739.99786,8.152684149,1855.740094,1265,148460.0
Barbados,2014,100.0,100.0,3.44,0.96,0.0,0.01,1.0309278,23147.074,1269.999981,-0.124547101,16489.07224,668,430.0
Barbados,2019,100.0,100.0,4.31,0.98,0.0,0.04,3.9215686,25172.027,1250.0,-0.096135553,18148.49785,668,430.0
Belarus,2014,100.0,99.2,6.69,32.36,0.0,0.27,0.8274594,30426.229,59500.0,1.726384854,8341.399679,47,207600.0
Belarus,2019,100.0,99.5,7.83,36.74,0.0,0.94,2.494692,31923.436,57669.99817,1.4,6837.717826,47,207600.0
Belgium,2014,100.0,100.0,9.13,25.03,33.7,12.21,64.71666,58234.56,90139.99939,1.578533143,47700.54036,383,30528.0
Belgium,2019,100.0,100.0,10.21,29.32,43.52,19.47,68.237465,64152.26,93010.00214,2.149559681,46591.49161,383,30528.0
Belize,2014,91.36426,83.0,37.47,0.19,0.0,0.32,62.7451,9421.46,479.9999893,4.037695674,4718.436581,17,22966.0
Belize,2019,92.72,82.1,29.09,0.41,0.0,0.47,53.409092,9883.737,639.9999857,1.762797913,5078.809944,17,22966.0
Benin,2014,34.1,4.3,51.05,0.22,0.0,0.0,0.0,1940.2653,5190.000057,6.357679098,1291.410185,108,112622.0
Benin,2019,40.32869,4.0,46.47,0.19,0.0,0.01,5.0,2416.162,7300.000191,6.865687336,1219.515506,108,112622.0
Bhutan,2014,91.48351,72.9,86.54,0.0,0.0,7.15,100.0,23328.47,699.9999881,5.77649568,2652.225654,20,38394.0
Bhutan,2019,100.0,79.4,82.27,0.0,0.0,8.95,100.0,27251.602,1049.999952,5.755169995,3322.863329,20,38394.0
Bosnia and Herzegovina,2014,100.0,44.05,23.68,9.61,0.0,5.89,38.0,19855.676,19489.99977,1.153851092,5330.355075,64,51197.0
Bosnia and Herzegovina,2019,100.0,45.0,37.02,10.36,0.0,6.31,37.85243,20694.338,21069.99969,2.831002603,6119.762345,64,51197.0
Botswana,2014,59.952995,61.3,25.38,2.17,0.0,0.0,0.0,8513.395,6989.999771,4.149262255,7495.220866,4,581730.0
Botswana,2019,69.95974,63.9,25.57,3.05,0.0,0.01,0.3267974,9467.984,7250.0,2.992737635,7203.064221,4,581730.0
Brazil,2014,99.650246,95.2,41.71,136.58,14.46,430.82,76.527,17519.043,511619.9951,0.50395574,12112.83496,25,8515770.0
Brazil,2019,99.8,95.8,47.57,90.91,15.16,512.59,85.30534,16681.945,434299.9878,1.411152985,8897.552966,25,8515770.0
Burkina Faso,2014,19.2,7.6,75.24,1.02,0.0,0.1,8.928572,677.6461,3180.000067,4.326845615,792.8462374,76,274200.0
Burkina Faso,2019,18.374855,10.1,64.85,1.51,0.0,0.21,12.209302,946.95734,5000.0,5.688115149,796.1152068,76,274200.0
Burundi,2014,7.0,0.2,91.28,0.04,0.0,0.15,78.94737,196.12764,379.9999952,4.240651644,274.8578362,463,27830.0
Burundi,2019,11.356528,0.2,84.77,0.12,0.0,0.24,66.666664,309.34055,720.0000286,1.842476677,228.2135892,463,27830.0
Cambodia,2014,56.1,18.0,63.7,1.03,0.0,1.96,65.55184,2031.7474,6949.999809,7.142571101,1093.495976,95,181035.0
Cambodia,2019,84.0,32.6,53.36,3.94,0.0,4.51,53.372787,4069.4607,16180.00031,7.054106932,1643.121389,95,181035.0
Cameroon,2014,56.8,21.7,76.79,2.33,0.0,4.34,65.06747,1941.542,8250.0,5.719818144,1604.214035,56,475440.0
Cameroon,2019,63.48988,22.2,79.41,2.99,0.0,5.36,64.19161,1720.2494,9430.000305,3.475059979,1533.095688,56,475440.0
Canada,2014,100.0,100.0,22.49,122.75,101.21,412.13,80.702415,113198.414,561679.9927,2.870036075,50955.99832,4,9984670.0
Canada,2019,100.0,100.0,22.11,110.65,95.47,421.8,82.378334,107980.76,580210.022,1.879592028,46338.34096,4,9984670.0
Central African Republic,2014,12.057397,0.6,94.82,0.0,0.0,0.17,100.0,238.23833,129.9999952,0.081070515,424.4491317,8,622984.0
Central African Republic,2019,14.3,0.7,91.26,0.0,0.0,0.15,100.0,299.18008,239.9999946,3.0,467.9080323,8,622984.0
Chad,2014,8.405685,3.7,76.86,0.27,0.0,0.0,0.0,303.73856,2259.99999,6.899985045,1020.287979,13,1284000.0
Chad,2019,8.4,6.1,77.79,0.3,0.0,0.01,3.2258065,458.18085,2250.0,3.247181917,709.5400432,13,1284000.0
China,2014,100.0,66.0,11.94,4345.86,133.22,1289.23,24.659735,25072.023,10006669.92,7.425763656,7636.116601,153,9596960.0
China,2019,100.0,77.6,14.45,5098.22,348.7,2014.57,31.672895,28277.445,10707219.73,5.949714233,10143.83817,153,9596960.0
Colombia,2014,97.79094,89.1,32.38,20.99,0.0,48.06,69.60174,10938.481,79199.99695,4.499030001,8114.343921,46,1138910.0
Colombia,2019,99.75592,92.5,30.72,23.84,0.0,54.31,69.49456,11221.787,81040.00092,3.281116805,6424.979492,46,1138910.0
Comoros,2014,72.162796,5.3,66.02,0.05,0.0,0.0,0.0,981.591,170.0000018,2.100006438,1513.830379,467,2235.0
Comoros,2019,84.297775,7.8,53.43,0.1,0.0,0.0,0.0,1685.7296,319.9999928,1.75532828,1401.542312,467,2235.0
Costa Rica,2014,99.35929,94.0,37.62,1.1,0.0,9.01,89.11969,11726.931,7829.999924,3.542109878,10847.16967,100,51100.0
Costa Rica,2019,99.71,95.6,35.76,0.25,0.0,11.18,97.81277,13012.45,8239.999771,2.256315079,12693.82796,100,51100.0
Croatia,2014,100.0,100.0,33.6,3.5,0.0,9.94,73.95833,22411.172,16239.99977,-0.345947048,13762.37286,73,56594.0
Croatia,2019,100.0,100.0,31.6,4.31,0.0,8.35,65.95577,23200.729,16520.00046,3.481945603,15311.7669,73,56594.0
Cuba,2014,98.42399,92.7,23.16,16.52,0.0,1.8,9.825328,11257.336,26690.00053,1.047576632,7133.337679,106,110860.0
Cuba,2019,99.8,93.6,21.54,16.54,0.0,2.99,15.309779,9606.213,25909.99985,-0.164839982,9125.878679,106,110860.0
Cyprus,2014,100.0,100.0,9.59,4.03,0.0,0.31,7.142857,24039.48,6809.999943,-1.829309109,27163.33297,131,9251.0
Cyprus,2019,100.0,100.0,12.05,4.63,0.0,0.52,10.097087,26442.418,7190.000057,5.283187396,29206.07672,131,9251.0
Denmark,2014,100.0,100.0,30.18,14.2,0.0,17.99,55.886925,35394.48,35819.99969,1.619393811,62548.98473,137,43094.0
Denmark,2019,100.0,100.0,37.52,6.44,0.0,23.07,78.17689,33139.277,29700.00076,2.114664208,59775.7351,137,43094.0
Djibouti,2014,56.61884,8.1,30.82,0.09,0.0,0.0,0.0,4183.972,400.000006,7.061543242,2464.294905,43,23200.0
Djibouti,2019,61.21193,9.5,27.92,0.06,0.0,0.0,0.0,2848.7866,419.9999869,7.770497257,3414.916178,43,23200.0
Dominica,2014,99.73655,88.9,9.97,0.07,0.0,0.03,30.0,11281.383,180.0000072,4.447947365,7317.486143,96,751.0
Dominica,2019,100.0,89.3,8.05,0.07,0.0,0.02,22.222221,11049.87,170.0000018,7.571391597,8516.280039,96,751.0
Dominican Republic,2014,98.47098,88.5,17.28,14.63,0.0,1.64,10.079902,8537.962,21450.00076,7.05046369,6608.825501,225,48670.0
Dominican Republic,2019,99.0,90.9,13.98,16.91,0.0,2.36,12.247015,11098.332,27229.99954,5.05216802,8282.117131,225,48670.0
Ecuador,2014,98.97607,94.3,12.18,11.36,0.0,12.09,51.556503,11816.219,41799.99924,3.788868549,6377.093929,71,283561.0
Ecuador,2019,99.09,94.45,17.73,7.09,0.0,25.2,78.04273,12160.402,39290.00092,0.012105103,6222.524653,71,283561.0
El Salvador,2014,95.12542,84.0,23.95,2.1,0.0,4.14,66.34615,6015.019,6590.000153,1.710709945,3589.042885,313,21041.0
El Salvador,2019,97.36,90.75,19.39,1.84,0.0,4.15,69.28214,7271.5205,7800.000191,2.382581398,4167.730939,313,21041.0
Equatorial Guinea,2014,65.92347,23.9,4.2,0.71,0.0,0.38,34.862385,24158.016,7909.999847,0.415066302,19394.08066,50,28051.0
Equatorial Guinea,2019,66.600044,24.0,6.58,0.95,0.0,0.45,32.142857,17644.693,5349.999905,-5.978936905,8419.933336,50,28051.0
Estonia,2014,100.0,100.0,25.3,11.06,0.0,1.39,11.164659,56413.82,17940.00053,3.011366587,20234.11742,31,45228.0
Estonia,2019,100.0,100.0,31.29,5.47,0.0,2.14,28.120895,47295.336,10180.00031,4.096342644,23397.12001,31,45228.0
Eswatini,2014,65.0,46.3,71.67,0.04,0.0,0.61,93.84616,5096.1387,750.0,0.923230547,4039.159341,67,17364.0
Eswatini,2019,76.86944,53.8,65.95,0.04,0.0,0.67,94.3662,5780.252,959.9999785,2.61303529,3915.643467,67,17364.0
Ethiopia,2014,27.2,3.7,91.25,0.02,0.0,9.45,99.7888,697.6292,12340.00015,10.25749296,566.9264029,115,1104300.0
Ethiopia,2019,48.06359,7.0,88.92,0.01,0.0,14.22,99.929726,921.99115,18360.00061,8.364085699,855.7608852,115,1104300.0
Fiji,2014,93.786606,38.1,33.17,0.38,0.0,0.53,58.241753,7886.4253,1289.999962,5.603514887,5605.609148,49,18274.0
Fiji,2019,99.71588,49.4,26.48,0.42,0.0,0.71,62.83186,9417.632,1629.999995,-0.445563044,6175.890653,49,18274.0
Finland,2014,100.0,100.0,41.25,17.95,23.58,26.28,73.528984,60391.24,46159.99985,-0.364908157,50260.29986,18,338145.0
Finland,2019,100.0,100.0,45.76,12.63,23.87,31.88,81.52969,59219.418,40709.99908,1.220754143,48628.64176,18,338145.0
France,2014,100.0,100.0,13.2,35.68,436.48,94.03,93.69823,43808.914,306100.0061,0.956183052,43011.2631,119,643801.0
France,2019,100.0,100.0,15.53,53.5,399.01,113.21,90.54302,42326.785,300519.989,1.842971814,40578.64429,119,643801.0
Gabon,2014,86.96431,84.65,81.3,1.13,0.0,0.79,41.145836,10845.483,5960.000038,4.314964441,9663.42411,9,267667.0
Gabon,2019,90.726295,87.8,89.88,1.25,0.0,1.01,44.690266,7427.6616,5250.0,3.920808795,7766.996554,9,267667.0
Georgia,2014,100.0,77.0,31.34,1.91,0.0,8.25,81.20079,17044.346,8470.000267,4.431924823,4739.188338,57,69700.0
