Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Afghanistan,2016.5,93.6,29.0,18.72,0.16999999999999998,0.0,0.9450000000000001,84.69223500000001,835.594375,5480.000019,3.3180733915,554.20134615,60.0,652230.0
Algeria,2016.5,99.29350500000001,99.6,0.115,68.0,0.0,0.5449999999999999,0.75461303,15683.844000000001,159495.00274999999,2.4,4741.3624855,18.0,2381741.0
Angola,2016.5,38.8214,48.0,51.459999999999994,4.18,0.0,8.129999999999999,64.195705,3901.2356,27419.99912,2.098991625,4109.018894,26.0,1246700.0
Antigua and Barbuda,2016.5,100.0,100.0,0.525,0.325,0.0,0.005,1.4705882,33170.258,499.9999851,4.3289818895,15439.1153,223.0,443.0
Argentina,2016.5,100.0,99.80000000000001,10.265,91.37,6.615,34.5,31.0287965,21803.087,173850.0061,-2.269274779,11195.718095,17.0,2780400.0
Armenia,2016.5,99.85499999999999,97.8,8.71,2.9749999999999996,2.15,2.19,59.333192499999996,15682.113,5825.0000475,5.6,4295.438974000001,104.0,29743.0
Australia,2016.5,100.0,100.0,9.725000000000001,200.95499999999998,0.0,44.78,18.16905,66503.8675,379080.00185,2.338040473,58693.488274999996,3.0,7741220.0
Austria,2016.5,100.0,100.0,34.72,13.82,0.0,52.42,79.28842750000001,47255.3615,63409.99794,1.0762418495000001,50915.948525,109.0,83871.0
Azerbaijan,2016.5,100.0,96.1,1.87,22.47,0.0,1.49,6.2008258000000005,16846.1255,33875.0,2.625253515,6348.5334325,123.0,86600.0
Bahrain,2016.5,100.0,100.0,0.0,28.525,0.0,0.01,0.035411697,154664.035,31769.999505,3.2458838185000003,24270.683810000002,2239.0,765.0
Bangladesh,2016.5,77.3,20.25,30.035,65.075,0.0,0.975,1.48699935,2478.508,77284.999845,7.106871754,1487.306951,1265.0,148460.0
Barbados,2016.5,100.0,100.0,3.875,0.97,0.0,0.025,2.4762482,24159.550499999998,1259.9999905,-0.11034132699999999,17318.785045,668.0,430.0
Belarus,2016.5,100.0,99.35,7.26,34.55,0.0,0.605,1.6610757,31174.8325,58584.999085,1.563192427,7589.5587525,47.0,207600.0
Belgium,2016.5,100.0,100.0,9.670000000000002,27.175,38.61,15.84,66.4770625,61193.41,91575.000765,1.864046412,47146.015985,383.0,30528.0
Belize,2016.5,92.04213,82.55,33.28,0.3,0.0,0.395,58.077096,9652.5985,559.9999875,2.9002467935,4898.623262499999,17.0,22966.0
Benin,2016.5,37.214345,4.15,48.76,0.20500000000000002,0.0,0.005,2.5,2178.2136499999997,6245.000124,6.6116832169999995,1255.4628455,108.0,112622.0
Bhutan,2016.5,95.741755,76.15,84.405,0.0,0.0,8.05,100.0,25290.036,874.99997005,5.7658328375,2987.5444915,20.0,38394.0
Bosnia and Herzegovina,2016.5,100.0,44.525,30.35,9.985,0.0,6.1,37.926215,20275.006999999998,20279.99973,1.9924268475,5725.05871,64.0,51197.0
Botswana,2016.5,64.9563675,62.599999999999994,25.475,2.61,0.0,0.005,0.1633987,8990.6895,7119.999885499999,3.570999945,7349.1425435,4.0,581730.0
Brazil,2016.5,99.725123,95.5,44.64,113.745,14.81,471.70500000000004,80.91617,17100.494,472959.99145,0.9575543625,10505.193963,25.0,8515770.0
Burkina Faso,2016.5,18.7874275,8.85,70.04499999999999,1.2650000000000001,0.0,0.155,10.568937,812.30172,4090.0000335,5.007480382,794.4807221,76.0,274200.0
Burundi,2016.5,9.178264,0.2,88.025,0.08,0.0,0.195,72.807017,252.73409500000002,550.0000119,3.0415641605,251.5357127,463.0,27830.0
Cambodia,2016.5,70.05,25.3,58.53,2.485,0.0,3.235,59.4623135,3050.60405,11565.0000595,7.0983390165,1368.3086825,95.0,181035.0
Cameroon,2016.5,60.14494,21.95,78.1,2.66,0.0,4.85,64.62953999999999,1830.8957,8840.0001525,4.5974390615,1568.6548615000002,56.0,475440.0
Canada,2016.5,100.0,100.0,22.299999999999997,116.7,98.34,416.96500000000003,81.5403745,110589.587,570945.00735,2.3748140515,48647.16964,4.0,9984670.0
Central African Republic,2016.5,13.1786985,0.6499999999999999,93.03999999999999,0.0,0.0,0.16,100.0,268.709205,184.9999949,1.5405352575,446.178582,8.0,622984.0
Chad,2016.5,8.4028425,4.9,77.325,0.28500000000000003,0.0,0.005,1.61290325,380.959705,2254.999995,5.073583481,864.9140110999999,13.0,1284000.0
China,2016.5,100.0,71.8,13.195,4722.04,240.95999999999998,1651.9,28.166315,26674.734,10356944.825,6.6877389444999995,8889.9773855,153.0,9596960.0
Colombia,2016.5,98.77343,90.8,31.55,22.415,0.0,51.185,69.54815,11080.134,80119.99893500001,3.890073403,7269.6617065,46.0,1138910.0
