Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Afghanistan,0.0,0.8905141641810158,0.261,0.19920025255182575,3.138350247733523e-05,0.0,0.0004963838436986553,0.8620690000000001,0.0028695147939731096,0.0004510996122268754,0.3494255158950283,0.0031310108696873023,0.006941120153183341,0.06532117453502873
Afghanistan,1.0,0.976017388344413,0.319,0.19478059560138905,3.5306440287002126e-05,0.0,0.0004417816208918032,0.8317757,0.0025880305574101465,0.0005631740296742659,0.3818222097340029,0.002157307375818793,0.006941120153183341,0.06532117453502873
Algeria,0.0,0.9904800501672025,0.995,0.0007366094917394507,0.011798235462573211,0.0,0.00012409596092466382,0.0041390726,0.06363558944159667,0.01379356162492255,0.378776380854919,0.04270431214445816,0.0019147917663954045,0.2385381799600567
Algeria,1.0,0.9947863887705246,0.997,0.0016836788382616017,0.014877741643161729,0.0,0.00041696242870687046,0.010953188,0.06854472549544287,0.015989286087394635,0.30236007624838523,0.030509994663541696,0.0019147917663954045,0.2385381799600567
Angola,0.0,0.2909488727913405,0.465,0.5075239398084815,0.0007806646241237137,0.0,0.002601051340980954,0.5683297,0.0168084061680391,0.002762634748973207,0.4066854593318215,0.042017737784062884,0.0028721876495931067,0.124859571928868
Angola,1.0,0.4332053833543155,0.495,0.5755024729032937,0.0008591233803170518,0.0,0.005470149957559181,0.7155844,0.014812933327393916,0.002349827238542502,0.2580210351478272,0.020938410301518412,0.0028721876495931067,0.124859571928868
Antigua and Barbuda,0.0,1.0,1.0,0.0014732189834789015,6.276700495467045e-05,0.0,0.0,0.0,0.1413184008708996,4.016000487460566e-05,0.3786597808454944,0.10766323142243116,0.026448061273336525,4.226488081854455e-05
Antigua and Barbuda,1.0,1.0,1.0,0.009575923392612859,6.47284738595039e-05,0.0,4.9638384369865536e-06,0.029411763999999996,0.14010016558842298,4.3895818596501584e-05,0.407766438863895,0.13909477507583565,0.026448061273336525,4.226488081854455e-05
Argentina,0.0,1.0,0.997,0.10302009891613174,0.01808082036475476,0.006498560680001483,0.01706071270792278,0.30066004,0.09680233987489016,0.016769137935320894,0.20649540398584462,0.09819919795683121,0.0017951172809956917,0.2784653721928532
Argentina,1.0,1.0,0.9990000000000001,0.11301694201831,0.017763062402171736,0.009846678444793122,0.017189772507284436,0.31991589000000004,0.0876028123535443,0.015695091264726013,0.21977767897198108,0.07972053353354018,0.0017951172809956917,0.2784653721928532
Armenia,0.0,0.9969761054869042,0.976,0.07450278859307587,0.0006060938915935366,0.0028045119284417046,0.000977876172086351,0.5784447,0.06396201371732858,0.0005071368209505707,0.3733180734103153,0.030482119215633628,0.012206797510770704,0.002976769639072941
Armenia,1.0,1.0,0.98,0.108807744922656,0.0005609801067823671,0.0025079996540690133,0.0011962850633137595,0.6082191499999999,0.06820352795554226,0.0005715796265097993,0.48248422279363773,0.035498218243243417,0.012206797510770704,0.002976769639072941
