Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Angola,45.6428,49.5,54.69,4.38,0.0,11.02,71.55844,3667.4238,25209.99908,-0.624644318,2809.626088,26,1246700.0
Benin,40.32869,4.0,46.47,0.19,0.0,0.01,5.0,2416.162,7300.000191,6.865687336,1219.515506,108,112622.0
Botswana,69.95974,63.9,25.57,3.05,0.0,0.01,0.3267974,9467.984,7250.0,2.992737635,7203.064221,4,581730.0
Burkina Faso,18.374855,10.1,64.85,1.51,0.0,0.21,12.209302,946.95734,5000.0,5.688115149,796.1152068,76,274200.0
Burundi,11.356528,0.2,84.77,0.12,0.0,0.24,66.666664,309.34055,720.0000286,1.842476677,228.2135892,463,27830.0
Cambodia,84.0,32.6,53.36,3.94,0.0,4.51,53.372787,4069.4607,16180.00031,7.054106932,1643.121389,95,181035.0
Cameroon,63.48988,22.2,79.41,2.99,0.0,5.36,64.19161,1720.2494,9430.000305,3.475059979,1533.095688,56,475440.0
Central African Republic,14.3,0.7,91.26,0.0,0.0,0.15,100.0,299.18008,239.9999946,3.0,467.9080323,8,622984.0
Chad,8.4,6.1,77.79,0.3,0.0,0.01,3.2258065,458.18085,2250.0,3.247181917,709.5400432,13,1284000.0
Comoros,84.297775,7.8,53.43,0.1,0.0,0.0,0.0,1685.7296,319.9999928,1.75532828,1401.542312,467,2235.0
Djibouti,61.21193,9.5,27.92,0.06,0.0,0.0,0.0,2848.7866,419.9999869,7.770497257,3414.916178,43,23200.0
Equatorial Guinea,66.600044,24.0,6.58,0.95,0.0,0.45,32.142857,17644.693,5349.999905,-5.978936905,8419.933336,50,28051.0
Eswatini,76.86944,53.8,65.95,0.04,0.0,0.67,94.3662,5780.252,959.9999785,2.61303529,3915.643467,67,17364.0
